,braid,free_part,torsion_part,total_num_FP,total_num_TP,total_num_FP_per_row,total_num_FP_per_column
7739,"[-1, -2, 2, 3, -1, -1, 1, 2, -1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
7740,"[2, -3, -3, -2, -2, -3, 2, 2, 3]","{(-2, 0): 1, (0, 0): 2, (2, 0): 1}",{},4,0,"{-2: 1, 0: 2, 2: 1}",{0: 4}
7741,"[2, 1, -3, 2, -3, 1, 1, -3, -1]","{(-7, -3): 1, (-5, -2): 1, (-3, -2): 1, (-3, -1): 1, (-1, -1): 1, (-1, 0): 2, (1, 0): 2, (1, 1): 1, (3, 1): 1, (3, 2): 1, (5, 2): 1, (7, 3): 1}","{(-5, -2): {2: 1}, (-3, -1): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (3, 2): {2: 1}, (5, 3): {2: 1}}",14,6,"{-7: 1, -5: 1, -3: 2, -1: 3, 1: 3, 3: 2, 5: 1, 7: 1}","{-3: 1, -2: 2, -1: 2, 0: 4, 1: 2, 2: 2, 3: 1}"
7742,"[1, -3, 3, -3, 1, 3, -1, -3, 1]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0,"{-1: 1, 1: 2, 3: 2, 5: 2, 7: 1}","{0: 4, 2: 4}"
7743,"[3, 2, -1, 1, 1, 1, 3, 2, -2]","{(1, 0): 1, (3, 0): 1, (5, 2): 2, (7, 2): 2, (9, 4): 1, (11, 4): 1}",{},8,0,"{1: 1, 3: 1, 5: 2, 7: 2, 9: 1, 11: 1}","{0: 2, 2: 4, 4: 2}"
7744,"[3, 2, -2, -2, -1, 2, -2, 1, -1]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
7745,"[3, 3, 1, -1, 3, 3, -3, 3, -1]","{(1, 0): 1, (3, 0): 2, (5, 0): 1, (5, 2): 1, (7, 2): 1, (9, 3): 1, (9, 4): 1, (11, 3): 1, (11, 4): 2, (13, 4): 1}","{(7, 3): {2: 1}, (9, 3): {2: 1}}",12,2,"{1: 1, 3: 2, 5: 2, 7: 1, 9: 2, 11: 3, 13: 1}","{0: 4, 2: 2, 3: 2, 4: 4}"
7746,"[2, -3, 2, -3, 2, 1, -1, 2, 1]","{(-3, -2): 1, (1, -1): 1, (1, 0): 2, (3, 0): 1, (3, 1): 1, (5, 1): 1, (5, 2): 1, (7, 2): 1, (7, 3): 1, (9, 3): 1, (11, 4): 1}","{(-1, -1): {2: 1}, (3, 1): {2: 1}, (5, 2): {2: 1}, (7, 3): {2: 1}, (9, 4): {2: 1}}",12,5,"{-3: 1, 1: 3, 3: 2, 5: 2, 7: 2, 9: 1, 11: 1}","{-2: 1, -1: 1, 0: 3, 1: 2, 2: 2, 3: 2, 4: 1}"
7747,"[-2, 2, -2, -3, 2, 2, 1, 1, -2]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0,"{-1: 1, 1: 2, 3: 2, 5: 2, 7: 1}","{0: 4, 2: 4}"
7748,"[-1, -1, -2, 1, 1, 1, -1, -2, -2]","{(-12, -5): 1, (-8, -4): 1, (-8, -3): 1, (-6, -2): 1, (-4, -2): 1, (-2, -1): 1, (-2, 0): 2, (0, 0): 2}","{(-10, -4): {2: 1}, (-6, -2): {2: 1}, (-4, -1): {2: 1}}",10,3,"{-12: 1, -8: 2, -6: 1, -4: 1, -2: 3, 0: 2}","{-5: 1, -4: 1, -3: 1, -2: 2, -1: 1, 0: 4}"
7749,"[1, 1, 1, -2, -1, 2, -1, -1, 1]","{(0, 0): 1, (2, 0): 1, (4, 2): 1, (6, 2): 1}",{},4,0,"{0: 1, 2: 1, 4: 1, 6: 1}","{0: 2, 2: 2}"
7750,"[3, -3, 1, -3, -3, 3, -2, -3, 3]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
7751,"[-1, 3, -1, -3, 3, 1, 1, -3, -1]","{(-3, 0): 1, (-1, 0): 3, (1, 0): 3, (3, 0): 1}",{},8,0,"{-3: 1, -1: 3, 1: 3, 3: 1}",{0: 8}
7752,"[-1, -2, -1, -2, -1, -1, -3, 2, -2]","{(-15, -5): 1, (-11, -4): 1, (-11, -3): 1, (-7, -2): 1, (-5, 0): 1, (-3, 0): 1}","{(-13, -4): {2: 1}, (-9, -2): {2: 1}}",6,2,"{-15: 1, -11: 2, -7: 1, -5: 1, -3: 1}","{-5: 1, -4: 1, -3: 1, -2: 1, 0: 2}"
7753,"[-2, 2, 1, 3, -3, -3, 2, 1, -1]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
7754,"[1, 2, -2, 1, 1, 3, -3, -3, 1]","{(1, 0): 1, (3, 0): 2, (5, 0): 1, (5, 2): 1, (7, 2): 1, (9, 3): 1, (9, 4): 1, (11, 3): 1, (11, 4): 2, (13, 4): 1}","{(7, 3): {2: 1}, (9, 3): {2: 1}}",12,2,"{1: 1, 3: 2, 5: 2, 7: 1, 9: 2, 11: 3, 13: 1}","{0: 4, 2: 2, 3: 2, 4: 4}"
7755,"[1, -2, 3, 2, 3, -1, -1, -2, -3]","{(-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, 0): 1, (-1, 0): 2, (1, 0): 1}",{},8,0,"{-7: 1, -5: 2, -3: 2, -1: 2, 1: 1}","{-2: 4, 0: 4}"
7756,"[1, -3, -3, -3, 3, 2, 1, 1, 2]","{(-3, -2): 1, (-1, -2): 1, (1, 0): 2, (3, 0): 1, (5, 1): 1, (5, 2): 2, (7, 2): 1, (9, 3): 1, (9, 4): 1, (11, 4): 1}","{(3, 1): {2: 1}, (7, 3): {2: 1}}",12,2,"{-3: 1, -1: 1, 1: 2, 3: 1, 5: 3, 7: 1, 9: 2, 11: 1}","{-2: 2, 0: 3, 1: 1, 2: 3, 3: 1, 4: 2}"
7757,"[2, -2, 3, 2, -3, -2, -1, 1, -2]","{(-6, -2): 1, (-4, -2): 1, (-2, 0): 1, (0, 0): 1}",{},4,0,"{-6: 1, -4: 1, -2: 1, 0: 1}","{-2: 2, 0: 2}"
7758,"[2, 1, 3, -2, 1, 1, 3, -3, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
7759,"[-1, 2, 2, 2, -3, 1, -3, -2, -1]","{(-9, -4): 1, (-5, -3): 1, (-5, -2): 3, (-3, -2): 2, (-3, -1): 1, (-1, -1): 1, (-1, 0): 3, (1, 0): 3, (1, 1): 1, (3, 1): 1, (3, 2): 1, (5, 2): 1, (7, 3): 1}","{(-7, -3): {2: 1}, (-3, -1): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (3, 2): {2: 1}, (5, 3): {2: 1}}",20,6,"{-9: 1, -5: 4, -3: 3, -1: 4, 1: 4, 3: 2, 5: 1, 7: 1}","{-4: 1, -3: 1, -2: 5, -1: 2, 0: 6, 1: 2, 2: 2, 3: 1}"
7760,"[-1, -1, 3, -3, 3, 3, 3, 2, 2]","{(-3, -2): 1, (-1, -2): 1, (1, 0): 3, (3, 0): 2, (5, 1): 1, (5, 2): 3, (7, 2): 1, (9, 3): 2, (9, 4): 1, (13, 5): 1}","{(3, 1): {2: 1}, (7, 3): {2: 2}, (11, 5): {2: 1}}",16,4,"{-3: 1, -1: 1, 1: 3, 3: 2, 5: 4, 7: 1, 9: 3, 13: 1}","{-2: 2, 0: 5, 1: 1, 2: 4, 3: 2, 4: 1, 5: 1}"
7761,"[2, 1, 3, 2, -3, -2, -2, -3, 1]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
7762,"[-2, -1, -1, 1, -3, -3, 2, -3, -3]","{(-11, -4): 1, (-9, -4): 1, (-7, -2): 2, (-5, -2): 2, (-3, 0): 1, (-1, 0): 1}",{},8,0,"{-11: 1, -9: 1, -7: 2, -5: 2, -3: 1, -1: 1}","{-4: 2, -2: 4, 0: 2}"
7763,"[-1, 2, 2, -2, 3, -2, 2, 3, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
7764,"[-3, 3, -1, -3, -2, -2, -3, 2, 2]","{(-9, -4): 1, (-7, -4): 1, (-5, -2): 1, (-3, 0): 1, (-1, -1): 1, (-1, 0): 3, (1, 0): 2}","{(-3, -1): {2: 1}}",10,1,"{-9: 1, -7: 1, -5: 1, -3: 1, -1: 4, 1: 2}","{-4: 2, -2: 1, 0: 6, -1: 1}"
7765,"[-1, -2, 2, -2, 2, -1, 2, -3, 2]","{(-5, -2): 1, (-3, -2): 1, (-1, 0): 2, (1, 0): 2, (3, 2): 1, (5, 2): 1}",{},8,0,"{-5: 1, -3: 1, -1: 2, 1: 2, 3: 1, 5: 1}","{-2: 2, 0: 4, 2: 2}"
