,braid,free_part,torsion_part,total_num_FP,total_num_TP,total_num_FP_per_row,total_num_FP_per_column
1493,"[2, 3, 2, 1, 1, 1, 3, -3, -1]","{(1, 0): 1, (3, 0): 1, (5, 2): 2, (7, 2): 2, (9, 4): 1, (11, 4): 1}",{},8,0,"{1: 1, 3: 1, 5: 2, 7: 2, 9: 1, 11: 1}","{0: 2, 2: 4, 4: 2}"
1494,"[-3, -2, 2, -2, 2, -3, -2, 2, 3]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
1495,"[3, -1, 1, 3, -1, 3, -2, -2, -3]","{(-5, -2): 1, (-3, -2): 1, (-1, 0): 2, (1, 0): 2, (3, 2): 1, (5, 2): 1}",{},8,0,"{-5: 1, -3: 1, -1: 2, 1: 2, 3: 1, 5: 1}","{-2: 2, 0: 4, 2: 2}"
1496,"[2, -2, -2, -1, -2, -2, 1, -3, -3]","{(-11, -4): 1, (-9, -4): 1, (-7, -2): 2, (-5, -2): 2, (-3, 0): 1, (-1, 0): 1}",{},8,0,"{-11: 1, -9: 1, -7: 2, -5: 2, -3: 1, -1: 1}","{-4: 2, -2: 4, 0: 2}"
1497,"[-3, -2, -2, 1, -1, -3, 2, 2, -3]","{(-12, -5): 1, (-8, -4): 1, (-8, -3): 1, (-6, -2): 1, (-4, -2): 1, (-2, -1): 1, (-2, 0): 2, (0, 0): 2}","{(-10, -4): {2: 1}, (-6, -2): {2: 1}, (-4, -1): {2: 1}}",10,3,"{-12: 1, -8: 2, -6: 1, -4: 1, -2: 3, 0: 2}","{-5: 1, -4: 1, -3: 1, -2: 2, -1: 1, 0: 4}"
1498,"[3, 3, 3, -3, -2, 3, -3, 3, -3]","{(0, 0): 1, (2, 0): 1, (4, 2): 1, (6, 2): 1}",{},4,0,"{0: 1, 2: 1, 4: 1, 6: 1}","{0: 2, 2: 2}"
1499,"[3, 2, -1, -1, -3, 3, -3, -2, -2]","{(-11, -4): 1, (-9, -4): 1, (-7, -2): 2, (-5, -2): 2, (-3, 0): 1, (-1, 0): 1}",{},8,0,"{-11: 1, -9: 1, -7: 2, -5: 2, -3: 1, -1: 1}","{-4: 2, -2: 4, 0: 2}"
1500,"[-3, -2, 1, 3, -3, -2, 1, 1, 2]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
1501,"[-2, 2, 3, 3, 1, -2, 3, 3, 2]","{(1, 0): 1, (3, 0): 1, (5, 2): 2, (7, 2): 2, (9, 4): 1, (11, 4): 1}",{},8,0,"{1: 1, 3: 1, 5: 2, 7: 2, 9: 1, 11: 1}","{0: 2, 2: 4, 4: 2}"
1502,"[1, 1, -2, 1, -1, -3, -2, -3, -2]","{(-11, -4): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 2, (-5, -1): 1, (-3, 0): 1, (-1, 0): 2, (1, 2): 1, (3, 2): 1}","{(-7, -2): {2: 1}, (-3, 0): {2: 1}}",12,2,"{-11: 1, -9: 2, -7: 1, -5: 3, -3: 1, -1: 2, 1: 1, 3: 1}","{-4: 2, -3: 1, -2: 3, -1: 1, 0: 3, 2: 2}"
1503,"[3, 2, -3, 1, -3, -3, -2, -1, 1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
1504,"[1, 2, -1, 1, 1, -3, 1, 3, -1]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0,"{-1: 1, 1: 2, 3: 2, 5: 2, 7: 1}","{0: 4, 2: 4}"
1505,"[-2, -3, 3, -1, -1, -2, -1, -1, 2]","{(-12, -4): 1, (-10, -4): 1, (-10, -3): 1, (-6, -2): 1, (-4, 0): 1, (-2, 0): 1}","{(-8, -2): {2: 1}}",6,1,"{-12: 1, -10: 2, -6: 1, -4: 1, -2: 1}","{-4: 2, -3: 1, -2: 1, 0: 2}"
1506,"[3, 2, 3, 3, -3, 3, -2, -1, 2]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
1507,"[-1, 2, -1, -2, -3, 3, 3, -1, 3]","{(-5, -2): 1, (-3, -2): 1, (-1, 0): 2, (1, 0): 2, (3, 2): 1, (5, 2): 1}",{},8,0,"{-5: 1, -3: 1, -1: 2, 1: 2, 3: 1, 5: 1}","{-2: 2, 0: 4, 2: 2}"
1508,"[2, 2, 1, 3, -3, 3, -1, 3, -3]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0,"{-1: 1, 1: 2, 3: 2, 5: 2, 7: 1}","{0: 4, 2: 4}"
1509,"[-3, 2, 3, -3, -2, -1, 1, 2, -2]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
1510,"[-3, -1, 2, 3, -3, 2, 1, 3, -1]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0,"{-1: 1, 1: 2, 3: 2, 5: 2, 7: 1}","{0: 4, 2: 4}"
1511,"[-1, 3, -2, 1, -2, -3, -1, 2, -3]","{(-9, -4): 1, (-7, -4): 1, (-5, -2): 1, (-3, 0): 1, (-1, -1): 1, (-1, 0): 3, (1, 0): 2}","{(-3, -1): {2: 1}}",10,1,"{-9: 1, -7: 1, -5: 1, -3: 1, -1: 4, 1: 2}","{-4: 2, -2: 1, 0: 6, -1: 1}"
1512,"[1, -3, -1, 2, -2, 2, -3, -2, 2]","{(-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, 0): 1, (-1, 0): 2, (1, 0): 1}",{},8,0,"{-7: 1, -5: 2, -3: 2, -1: 2, 1: 1}","{-2: 4, 0: 4}"
1513,"[2, -1, 1, 3, -2, -2, 1, 1, -1]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
1514,"[3, -3, -2, 2, 1, 3, 2, 2, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 2, (7, 2): 2, (9, 4): 1, (11, 4): 1}",{},8,0,"{1: 1, 3: 1, 5: 2, 7: 2, 9: 1, 11: 1}","{0: 2, 2: 4, 4: 2}"
1515,"[-3, -3, 3, -1, 2, -1, -3, -3, 2]","{(-13, -5): 1, (-11, -4): 1, (-9, -4): 1, (-9, -3): 2, (-7, -3): 1, (-7, -2): 2, (-5, -2): 2, (-5, -1): 1, (-3, -1): 2, (-3, 0): 2, (-1, 0): 2, (-1, 1): 1, (1, 1): 1, (3, 2): 1}","{(-11, -4): {2: 1}, (-9, -3): {2: 1}, (-7, -2): {2: 2}, (-5, -1): {2: 2}, (-3, 0): {2: 1}, (-1, 1): {2: 1}, (1, 2): {2: 1}}",20,9,"{-13: 1, -11: 1, -9: 3, -7: 3, -5: 3, -3: 4, -1: 3, 1: 1, 3: 1}","{-5: 1, -4: 2, -3: 3, -2: 4, -1: 3, 0: 4, 1: 2, 2: 1}"
1516,"[-1, 2, -2, -1, 2, -1, 2, -1, -2]","{(-6, -2): 1, (-4, -2): 1, (-2, 0): 1, (0, 0): 1}",{},4,0,"{-6: 1, -4: 1, -2: 1, 0: 1}","{-2: 2, 0: 2}"
1517,"[2, 3, 1, -1, 2, 3, 2, 3, -2]","{(2, 0): 1, (4, 0): 1, (6, 2): 1, (10, 3): 1, (10, 4): 1, (12, 4): 1}","{(8, 3): {2: 1}}",6,1,"{2: 1, 4: 1, 6: 1, 10: 2, 12: 1}","{0: 2, 2: 1, 3: 1, 4: 2}"
1518,"[3, 3, 1, 3, 2, 3, 1, -1, 2]","{(3, 0): 1, (5, 0): 1, (7, 2): 1, (11, 3): 1, (11, 4): 1, (15, 5): 1}","{(9, 3): {2: 1}, (13, 5): {2: 1}}",6,2,"{3: 1, 5: 1, 7: 1, 11: 2, 15: 1}","{0: 2, 2: 1, 3: 1, 4: 1, 5: 1}"
1519,"[2, -1, 3, 3, 2, 1, 3, -2, -3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
1520,"[1, -1, 2, 2, 3, 3, -2, 2, -3]","{(0, 0): 1, (2, 0): 1, (4, 2): 1, (6, 2): 1}",{},4,0,"{0: 1, 2: 1, 4: 1, 6: 1}","{0: 2, 2: 2}"
1521,"[-3, 1, 1, -3, 1, 1, -3, -2, 3]","{(-3, -2): 1, (-1, -2): 1, (1, 0): 2, (3, 0): 1, (5, 1): 1, (5, 2): 2, (7, 2): 1, (9, 3): 1, (9, 4): 1, (11, 4): 1}","{(3, 1): {2: 1}, (7, 3): {2: 1}}",12,2,"{-3: 1, -1: 1, 1: 2, 3: 1, 5: 3, 7: 1, 9: 2, 11: 1}","{-2: 2, 0: 3, 1: 1, 2: 3, 3: 1, 4: 2}"
1522,"[-3, 2, 1, 2, -1, 3, -1, 1, -1]","{(-3, 0): 1, (-1, 0): 3, (1, 0): 3, (3, 0): 1}",{},8,0,"{-3: 1, -1: 3, 1: 3, 3: 1}",{0: 8}
1523,"[3, -1, 3, -1, -1, -2, 3, -1, -1]","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 2, (-7, -2): 1, (-5, -2): 2, (-5, -1): 1, (-3, -1): 1, (-3, 0): 2, (-1, 0): 2, (1, 1): 1, (1, 2): 1, (5, 3): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 2}, (-5, -1): {2: 1}, (-3, 0): {2: 1}, (-1, 1): {2: 1}, (3, 3): {2: 1}}",16,7,"{-13: 1, -9: 3, -7: 1, -5: 3, -3: 3, -1: 2, 1: 2, 5: 1}","{-5: 1, -4: 1, -3: 2, -2: 3, -1: 2, 0: 4, 1: 1, 2: 1, 3: 1}"
1524,"[-2, 3, -1, -2, 2, 2, -1, 3, 2]","{(-5, -2): 1, (-3, -2): 1, (-1, 0): 2, (1, 0): 2, (3, 2): 1, (5, 2): 1}",{},8,0,"{-5: 1, -3: 1, -1: 2, 1: 2, 3: 1, 5: 1}","{-2: 2, 0: 4, 2: 2}"
1525,"[1, -3, -1, 2, 2, -3, 2, -2, 3]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0,"{-1: 1, 1: 2, 3: 2, 5: 2, 7: 1}","{0: 4, 2: 4}"
1526,"[3, 1, 1, -1, -3, -1, 3, 3, 1]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0,"{-1: 1, 1: 2, 3: 2, 5: 2, 7: 1}","{0: 4, 2: 4}"
1527,"[-3, -3, 3, -1, -2, -3, -1, -1, -2]","{(-15, -5): 1, (-11, -4): 1, (-11, -3): 1, (-7, -2): 1, (-5, 0): 1, (-3, 0): 1}","{(-13, -4): {2: 1}, (-9, -2): {2: 1}}",6,2,"{-15: 1, -11: 2, -7: 1, -5: 1, -3: 1}","{-5: 1, -4: 1, -3: 1, -2: 1, 0: 2}"
1528,"[-1, 2, 1, -3, 2, 1, -1, -1, 1]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
1529,"[1, 3, -1, -1, -2, 3, 3, -2, -1]","{(-9, -4): 1, (-5, -3): 1, (-5, -2): 3, (-3, -2): 2, (-3, -1): 1, (-1, -1): 1, (-1, 0): 3, (1, 0): 3, (1, 1): 1, (3, 1): 1, (3, 2): 1, (5, 2): 1, (7, 3): 1}","{(-7, -3): {2: 1}, (-3, -1): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (3, 2): {2: 1}, (5, 3): {2: 1}}",20,6,"{-9: 1, -5: 4, -3: 3, -1: 4, 1: 4, 3: 2, 5: 1, 7: 1}","{-4: 1, -3: 1, -2: 5, -1: 2, 0: 6, 1: 2, 2: 2, 3: 1}"
1530,"[-3, -1, 3, 1, 1, -1, 1, -1, 1]","{(-3, 0): 1, (-1, 0): 3, (1, 0): 3, (3, 0): 1}",{},8,0,"{-3: 1, -1: 3, 1: 3, 3: 1}",{0: 8}
1531,"[2, 2, -2, -2, -3, 2, 3, -2, 1]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
1532,"[2, 1, -1, -3, -2, -2, -2, 1, 3]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
1533,"[3, 3, 1, -2, -1, -2, -3, -3, -1]","{(-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, 0): 1, (-1, 0): 2, (1, 0): 1}",{},8,0,"{-7: 1, -5: 2, -3: 2, -1: 2, 1: 1}","{-2: 4, 0: 4}"
1534,"[1, -3, -1, -3, -1, 3, 3, -3, 2]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
1535,"[1, 3, 1, -2, 2, -1, 3, -3, 1]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0,"{-1: 1, 1: 2, 3: 2, 5: 2, 7: 1}","{0: 4, 2: 4}"
1536,"[1, -3, -1, -3, -3, -1, -2, -1, 3]","{(-11, -4): 1, (-9, -4): 1, (-7, -2): 2, (-5, -2): 2, (-3, 0): 1, (-1, 0): 1}",{},8,0,"{-11: 1, -9: 1, -7: 2, -5: 2, -3: 1, -1: 1}","{-4: 2, -2: 4, 0: 2}"
1537,"[-1, -1, -3, 2, -1, 2, -1, 1, 3]","{(-9, -3): 1, (-7, -3): 1, (-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, -1): 1, (-3, 0): 2, (-1, -1): 1, (-1, 0): 4, (-1, 1): 1, (1, 0): 2, (1, 1): 1, (3, 2): 1, (5, 2): 1}","{(-7, -2): {2: 1}, (-5, -2): {2: 1}, (-5, -1): {2: 1}, (-3, -1): {2: 1}, (1, 2): {2: 1}, (3, 2): {2: 1}}",20,6,"{-9: 1, -7: 2, -5: 2, -3: 4, -1: 6, 1: 3, 3: 1, 5: 1}","{-3: 2, -2: 4, -1: 2, 0: 8, 1: 2, 2: 2}"
1538,"[-2, -2, 3, 1, 3, -2, 1, -2, -3]","{(-9, -4): 1, (-5, -3): 1, (-5, -2): 1, (-3, -1): 1, (-1, -1): 1, (-1, 0): 1, (1, 0): 2, (1, 1): 1, (5, 2): 1}","{(-7, -3): {2: 1}, (-3, -1): {2: 1}, (-1, 0): {2: 1}, (3, 2): {2: 1}}",10,4,"{-9: 1, -5: 2, -3: 1, -1: 2, 1: 3, 5: 1}","{-4: 1, -3: 1, -2: 1, -1: 2, 0: 3, 1: 1, 2: 1}"
1539,"[2, -1, 3, 2, -2, 1, -2, -1, 2]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
1540,"[-1, 2, -3, -1, -3, -3, 3, -3, 2]","{(-13, -5): 1, (-11, -4): 1, (-9, -4): 1, (-9, -3): 1, (-7, -3): 1, (-7, -2): 2, (-5, -2): 1, (-5, -1): 1, (-3, -1): 2, (-3, 0): 1, (-1, 0): 2, (-1, 1): 1, (3, 2): 1}","{(-11, -4): {2: 1}, (-9, -3): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 2}, (-3, 0): {2: 1}, (1, 2): {2: 1}}",16,7,"{-13: 1, -11: 1, -9: 2, -7: 3, -5: 2, -3: 3, -1: 3, 3: 1}","{-5: 1, -4: 2, -3: 2, -2: 3, -1: 3, 0: 3, 1: 1, 2: 1}"
1541,"[1, 1, 3, 3, 3, 1, 3, -1, -2]","{(3, 0): 1, (5, 0): 1, (7, 2): 2, (9, 2): 1, (11, 3): 1, (11, 4): 2, (13, 4): 1, (15, 5): 1, (15, 6): 1, (17, 6): 1}","{(9, 3): {2: 1}, (13, 5): {2: 1}}",12,2,"{3: 1, 5: 1, 7: 2, 9: 1, 11: 3, 13: 1, 15: 2, 17: 1}","{0: 2, 2: 3, 3: 1, 4: 3, 5: 1, 6: 2}"
1542,"[-2, 1, 1, 2, 3, -3, -2, -1, -1]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
1543,"[1, 3, -3, -1, 3, -2, 2, 2, -3]","{(-2, 0): 1, (0, 0): 2, (2, 0): 1}",{},4,0,"{-2: 1, 0: 2, 2: 1}",{0: 4}
1544,"[3, -3, 3, -3, -2, 2, -1, 1, 2]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
1545,"[-3, -3, 1, 1, 1, -1, -2, -2, -2]","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 2, (-7, -2): 1, (-5, -2): 3, (-5, -1): 1, (-3, 0): 2, (-1, 0): 3, (1, 2): 1, (3, 2): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 2}, (-3, 0): {2: 1}}",16,4,"{-13: 1, -9: 3, -7: 1, -5: 4, -3: 2, -1: 3, 1: 1, 3: 1}","{-5: 1, -4: 1, -3: 2, -2: 4, -1: 1, 0: 5, 2: 2}"
1546,"[2, 2, -1, 2, 1, -1, 2, 2, -2]","{(2, 0): 1, (4, 0): 1, (6, 2): 1, (10, 3): 1, (10, 4): 1, (12, 4): 1}","{(8, 3): {2: 1}}",6,1,"{2: 1, 4: 1, 6: 1, 10: 2, 12: 1}","{0: 2, 2: 1, 3: 1, 4: 2}"
1547,"[3, -1, 3, -2, 1, 3, 2, 1, 1]","{(1, 0): 1, (3, 0): 1, (3, 1): 1, (5, 2): 1, (7, 2): 1, (9, 3): 1, (9, 4): 1, (13, 5): 1}","{(5, 2): {2: 1}, (7, 3): {2: 1}, (11, 5): {2: 1}}",8,3,"{1: 1, 3: 2, 5: 1, 7: 1, 9: 2, 13: 1}","{0: 2, 1: 1, 2: 2, 3: 1, 4: 1, 5: 1}"
1548,"[1, 3, -1, 3, 1, -2, 2, -3, 3]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0,"{-1: 1, 1: 2, 3: 2, 5: 2, 7: 1}","{0: 4, 2: 4}"
1549,"[-1, -2, -2, -3, 1, 2, 3, -2, -1]","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",8,3,"{-13: 1, -9: 2, -7: 1, -5: 1, -3: 2, -1: 1}","{-5: 1, -4: 1, -3: 1, -2: 2, -1: 1, 0: 2}"
1550,"[1, -3, 1, -1, -2, 1, 2, -3, 2]","{(-5, -2): 1, (-1, -1): 1, (-1, 0): 2, (1, 0): 1, (1, 1): 1, (3, 1): 1, (5, 2): 1, (5, 3): 1, (9, 4): 1}","{(-3, -1): {2: 1}, (1, 1): {2: 1}, (3, 2): {2: 1}, (7, 4): {2: 1}}",10,4,"{-5: 1, -1: 3, 1: 2, 3: 1, 5: 2, 9: 1}","{-2: 1, -1: 1, 0: 3, 1: 2, 2: 1, 3: 1, 4: 1}"
1551,"[1, -2, -1, -2, 1, 1, 3, -1, 2]","{(-3, 0): 1, (-1, 0): 3, (1, 0): 3, (3, 0): 1}",{},8,0,"{-3: 1, -1: 3, 1: 3, 3: 1}",{0: 8}
1552,"[1, 3, 3, 2, -3, -3, 2, 3, 1]","{(1, 0): 2, (3, 0): 2, (3, 1): 1, (5, 2): 3, (7, 2): 3, (7, 3): 1, (9, 3): 1, (9, 4): 2, (11, 4): 1, (13, 5): 2, (13, 6): 1, (17, 7): 1}","{(5, 2): {2: 1}, (7, 3): {2: 1}, (9, 4): {2: 1}, (11, 5): {2: 2}, (15, 7): {2: 1}}",20,6,"{1: 2, 3: 3, 5: 3, 7: 4, 9: 3, 11: 1, 13: 3, 17: 1}","{0: 4, 1: 1, 2: 6, 3: 2, 4: 3, 5: 2, 6: 1, 7: 1}"
1553,"[3, -3, 2, 3, -3, 3, 1, -1, 1]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
1554,"[1, 2, -3, -3, 3, -3, -1, 1, 3]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
1555,"[2, -3, 2, 2, 3, -2, 1, 2, -3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
1556,"[3, -1, -2, 1, 3, -3, 1, -2, -3]","{(-3, 0): 1, (-1, 0): 3, (1, 0): 3, (3, 0): 1}",{},8,0,"{-3: 1, -1: 3, 1: 3, 3: 1}",{0: 8}
1557,"[2, 3, 2, 3, -1, 2, -1, -1, 1]","{(-3, -2): 1, (1, -1): 1, (1, 0): 2, (3, 0): 1, (3, 1): 1, (5, 1): 1, (5, 2): 1, (7, 2): 1, (7, 3): 1, (9, 3): 1, (11, 4): 1}","{(-1, -1): {2: 1}, (3, 1): {2: 1}, (5, 2): {2: 1}, (7, 3): {2: 1}, (9, 4): {2: 1}}",12,5,"{-3: 1, 1: 3, 3: 2, 5: 2, 7: 2, 9: 1, 11: 1}","{-2: 1, -1: 1, 0: 3, 1: 2, 2: 2, 3: 2, 4: 1}"
1558,"[2, 1, 1, 3, 3, -3, -2, 1, 2]","{(1, 0): 1, (3, 0): 1, (3, 1): 1, (5, 2): 1, (7, 2): 1, (9, 3): 1, (9, 4): 1, (13, 5): 1}","{(5, 2): {2: 1}, (7, 3): {2: 1}, (11, 5): {2: 1}}",8,3,"{1: 1, 3: 2, 5: 1, 7: 1, 9: 2, 13: 1}","{0: 2, 1: 1, 2: 2, 3: 1, 4: 1, 5: 1}"
1559,"[-2, -3, 3, 1, 1, 3, 3, -2, -2]","{(-7, -3): 1, (-3, -2): 1, (-3, -1): 2, (-1, 0): 1, (1, 0): 3, (1, 1): 1, (3, 2): 2, (5, 2): 3, (7, 4): 1, (9, 4): 1}","{(-5, -2): {2: 1}, (-1, 0): {2: 2}, (3, 2): {2: 1}}",16,4,"{-7: 1, -3: 3, -1: 1, 1: 4, 3: 2, 5: 3, 7: 1, 9: 1}","{-3: 1, -2: 1, -1: 2, 0: 4, 1: 1, 2: 5, 4: 2}"
1560,"[1, 2, 1, -3, 2, 1, 2, -3, 1]","{(-1, -2): 1, (3, -1): 1, (3, 0): 2, (5, 0): 1, (5, 1): 1, (7, 1): 1, (7, 2): 1, (9, 2): 1, (9, 3): 1, (11, 3): 1, (11, 4): 1, (13, 4): 1, (15, 5): 1}","{(1, -1): {2: 1}, (5, 1): {2: 1}, (7, 2): {2: 1}, (9, 3): {2: 1}, (11, 4): {2: 1}, (13, 5): {2: 1}}",14,6,"{-1: 1, 3: 3, 5: 2, 7: 2, 9: 2, 11: 2, 13: 1, 15: 1}","{-2: 1, -1: 1, 0: 3, 1: 2, 2: 2, 3: 2, 4: 2, 5: 1}"
1561,"[-1, 1, 1, -1, 2, 2, -1, -2, 1]","{(0, 0): 1, (2, 0): 1, (4, 2): 1, (6, 2): 1}",{},4,0,"{0: 1, 2: 1, 4: 1, 6: 1}","{0: 2, 2: 2}"
1562,"[-1, 2, -1, -1, 2, 3, -2, 3, 2]","{(-7, -3): 1, (-5, -2): 2, (-3, -2): 1, (-3, -1): 2, (-1, -1): 2, (-1, 0): 3, (1, 0): 3, (1, 1): 3, (3, 1): 2, (3, 2): 2, (5, 2): 3, (5, 3): 1, (7, 3): 2, (7, 4): 1, (9, 4): 1, (11, 5): 1}","{(-5, -2): {2: 1}, (-3, -1): {2: 2}, (-1, 0): {2: 2}, (1, 1): {2: 2}, (3, 2): {2: 3}, (5, 3): {2: 2}, (7, 4): {2: 1}, (9, 5): {2: 1}}",30,14,"{-7: 1, -5: 2, -3: 3, -1: 5, 1: 6, 3: 4, 5: 4, 7: 3, 9: 1, 11: 1}","{-3: 1, -2: 3, -1: 4, 0: 6, 1: 5, 2: 5, 3: 3, 4: 2, 5: 1}"
1563,"[-3, -1, 2, -1, 3, -2, 2, -3, -2]","{(-1, 0): 1, (1, 0): 1}",{},2,0,"{-1: 1, 1: 1}",{0: 2}
1564,"[-2, -1, -2, -1, -1, -3, -2, 2, 1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
1565,"[-3, 3, 3, -1, 3, -3, -1, 3, -1]","{(-9, -3): 1, (-7, -3): 1, (-5, -2): 1, (-5, -1): 1, (-3, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 3, (1, 0): 2, (1, 2): 1, (3, 2): 2, (5, 2): 1}","{(-7, -2): {2: 1}, (-5, -2): {2: 1}, (-3, 0): {2: 1}, (-1, 0): {2: 1}}",16,4,"{-9: 1, -7: 1, -5: 2, -3: 3, -1: 3, 1: 3, 3: 2, 5: 1}","{-3: 2, -2: 2, -1: 2, 0: 6, 2: 4}"
1566,"[2, -3, 3, -1, 1, 2, 1, -2, -2]","{(-2, 0): 1, (0, 0): 2, (2, 0): 1}",{},4,0,"{-2: 1, 0: 2, 2: 1}",{0: 4}
1567,"[1, 3, 3, -3, -3, -1, 1, 2, 1]","{(0, 0): 1, (2, 0): 1, (4, 2): 1, (6, 2): 1}",{},4,0,"{0: 1, 2: 1, 4: 1, 6: 1}","{0: 2, 2: 2}"
1568,"[-3, -3, 1, -3, -1, 2, -3, -2, 1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
1569,"[2, 3, -2, 2, -3, 3, 1, 1, -2]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0,"{-1: 1, 1: 2, 3: 2, 5: 2, 7: 1}","{0: 4, 2: 4}"
1570,"[2, -1, 2, -3, 1, -3, 1, 3, 3]","{(-1, 0): 1, (1, 0): 2, (1, 1): 1, (3, 0): 1, (3, 1): 1, (5, 2): 1, (7, 2): 1, (7, 4): 1, (9, 4): 2, (11, 4): 1}","{(3, 2): {2: 1}, (5, 2): {2: 1}}",12,2,"{-1: 1, 1: 3, 3: 2, 5: 1, 7: 2, 9: 2, 11: 1}","{0: 4, 1: 2, 2: 2, 4: 4}"
1571,"[-2, 1, -1, 2, 3, 1, 3, 1, 2]","{(1, 0): 1, (3, 0): 1, (5, 2): 2, (7, 2): 2, (9, 4): 1, (11, 4): 1}",{},8,0,"{1: 1, 3: 1, 5: 2, 7: 2, 9: 1, 11: 1}","{0: 2, 2: 4, 4: 2}"
